OID_,Name,OriginID,DestinationID,DestinationRank,Total_Length,Total_Walk_NLS,Total_Walk_Tobler,Total_Walk_2D,Shape_Length
1,2812 - 169097,1,1,1,1444.751620227697458,21.319383092426140,21.357608196788924,19.609416697440167,
2,2813 - 169097,2,1,1,1082.911991133587208,16.237153837235226,16.571067421523409,14.568955808391539,
3,2814 - 169097,3,1,1,2333.443048072859710,33.890777508658545,32.682713094598242,31.751195251066644,
4,2815 - 169097,4,1,1,1835.710433334773597,26.740128911207794,26.172721304902669,24.962618014434444,
5,2816 - 169097,5,1,1,1574.465894170415595,23.247407014898098,23.282340483199896,21.473430898969237,
6,2817 - 169097,6,1,1,1398.365513508133063,20.678434128774441,20.817133302200464,18.973757586210660,
7,2818 - 169097,7,1,1,1144.696457262905142,17.084615113123991,17.298936662550854,15.415713032835951,
8,2819 - 169097,8,1,1,1514.514249614700248,22.281162768006631,22.178126731716226,20.565356815215058,
9,2820 - 169097,9,1,1,1120.156137599754175,16.750599003874871,17.002112876837661,15.079421790660597,
10,2821 - 169097,10,1,1,1392.437956139063544,20.726537826200161,21.349727820945215,18.911658674579286,
11,2822 - 169097,11,1,1,1100.062454083102239,16.446041827615179,16.995049487797772,14.902897095383256,
12,2823 - 169097,12,1,1,1122.408535016705628,16.795472866439042,17.253606798590447,15.207543050370909,
13,2824 - 169097,13,1,1,2276.606611731773683,34.994596413251863,39.246821732924666,30.776568126392096,
14,2825 - 169097,14,1,1,2862.309947254817871,41.470846015002842,39.541539729869683,38.979602754017584,
15,2826 - 169097,15,1,1,895.420535634732914,13.638483857130392,14.370313528933037,12.101248589476105,
16,2827 - 169097,16,1,1,2596.378820607932539,37.789584879270144,36.407946451905396,35.336539335696578,
17,2828 - 169097,17,1,1,585.312907199492429,9.388431944486900,9.691133221835875,7.883382799827369,
18,2829 - 169097,18,1,1,3201.596525435637886,46.082396604418953,43.626359341640047,43.630231025704397,
19,2830 - 169097,19,1,1,919.852084922783206,13.998519523464468,14.558152201756357,12.337266203838858,
20,2831 - 169097,20,1,1,559.888200957220306,8.315267828170345,9.557326489962110,7.589535284082572,
21,2832 - 169097,21,1,1,580.475585002868684,8.939059406710710,10.846206431843678,7.821587361618501,
22,2833 - 169097,22,1,1,2508.195557150690092,36.867368309557314,35.868375704641075,34.097922410105035,
23,2834 - 169097,23,1,1,908.912697283788589,13.839935029667638,14.421853946144575,12.187715198109879,
24,2835 - 169097,24,1,1,1788.354056860312085,26.502146062990516,26.049980378233354,24.279714419627567,
25,2836 - 169097,25,1,1,708.944881563083868,11.126834806485187,12.094551627266666,9.444136851793688,
26,2837 - 169097,26,1,1,413.441833427895688,7.201690935242164,8.191985321329161,5.482925669474822,
27,2838 - 169097,27,1,1,1494.947978545870001,22.295344599993992,22.886512160630378,20.306141191272630,
28,2839 - 169097,28,1,1,1429.264114880142415,20.960898757795562,21.119014086345768,19.409880718558775,
29,2840 - 169097,29,1,1,1723.088002624308956,25.243343405480076,24.564416288215277,23.428795092338973,
30,2841 - 169097,30,1,1,691.585499172409982,10.882398060732017,11.900085680260187,9.206293628880671,
31,2842 - 169097,31,1,1,505.500454182906140,7.707707402179460,8.435668850727545,6.814776464767426,
32,2843 - 169097,32,1,1,1208.044283663013857,17.986943561749900,18.469416484287592,16.378043652332909,
33,2844 - 169097,33,1,1,992.197560293810284,14.994626689918393,15.481543218733199,13.325899350868676,
34,2845 - 169097,34,1,1,1194.155069105742314,18.498345470398942,19.084605543489424,16.578280432239040,
35,2846 - 169097,35,1,1,1511.850529150324746,22.530242513646584,22.260051146807090,20.515383952095579,
36,2847 - 169097,36,1,1,871.517397457093921,13.301437887797222,14.042369237861392,11.674977489768429,
37,2848 - 169097,37,1,1,1748.869463210585536,25.585484796907970,24.899342075737881,23.781970593494041,
38,2849 - 169097,38,1,1,699.714142007153441,11.034803889260528,11.836648537277991,9.320492447016054,
39,2850 - 169097,39,1,1,679.629805599148199,10.715512689625582,11.763503701660714,9.042470089488145,
40,2851 - 169097,40,1,1,858.602019900205391,13.134431823590241,13.786609868664176,11.598116219817800,
