OID_,Name,OriginID,DestinationID,DestinationRank,Total_Length,Total_Walk_NLS,Total_Walk_Tobler,Total_Walk_2D,Shape_Length
1,2812 - 169097,1,1,1,1466.154771608390547,20.395171210958946,19.927364323550997,20.025232114338959,
2,2813 - 169097,2,1,1,1125.750089645353000,15.745779430309607,15.495824735702026,15.375843095639432,
3,2814 - 169097,3,1,1,2369.848034182011816,32.831996469196582,30.876455494071241,32.404474981472404,
4,2815 - 169097,4,1,1,1857.113584715466686,25.815917029740600,24.742477431664742,25.378433431333235,
5,2816 - 169097,5,1,1,1595.869045551108456,22.323195133430904,21.852096609961968,21.889246315868029,
6,2817 - 169097,6,1,1,1419.768664888825924,19.754222247307247,19.386889428962537,19.389573003109451,
7,2818 - 169097,7,1,1,1168.553570681226347,16.206365792068127,16.365463456732972,15.957734942930230,
8,2819 - 169097,8,1,1,1535.917400995393336,21.356950886539437,20.747882858478299,20.981172232113849,
9,2820 - 169097,9,1,1,1166.590037898797618,16.181758155641575,16.337699299356011,15.930815012326946,
10,2821 - 169097,10,1,1,1394.793178018849403,20.703855302100632,21.263985310272957,18.946620955137874,
11,2822 - 169097,11,1,1,1121.465605463795100,15.521829946147989,15.564805614559843,15.318712512282039,
12,2823 - 169097,12,1,1,1151.071631551324117,15.977665412767543,15.919457430746700,15.722561140320925,
13,2824 - 169097,13,1,1,2327.604861642324522,33.231592061109176,31.346018221872178,31.740916668863061,
14,2825 - 169097,14,1,1,2892.035333911193447,40.322263571467793,37.468870187646566,39.549554592019469,
15,2826 - 169097,15,1,1,938.454753178940791,12.972463333564662,13.249254415426678,12.814440114899973,
16,2827 - 169097,16,1,1,2626.104207264308116,36.641002435735103,34.335276909682278,35.906491173698463,
17,2828 - 169097,17,1,1,585.312907199492429,9.388431944486900,9.691133221835875,7.883382799827369,
18,2829 - 169097,18,1,1,3231.321912092013008,44.933814160883912,41.553689799416929,44.200182863706289,
19,2830 - 169097,19,1,1,934.767153622134742,13.030206173509491,13.510474800509233,12.754330942876306,
20,2831 - 169097,20,1,1,563.379615026368924,8.085016772276306,9.134175278224859,7.665116264168574,
21,2832 - 169097,21,1,1,580.714000153203642,8.269466646570715,8.785321069141615,7.904382620076996,
22,2833 - 169097,22,1,1,2540.183706282055937,35.499021232162214,33.446054041609173,34.726595080183223,
23,2834 - 169097,23,1,1,917.853986263641787,12.791608736734117,13.310854355779586,12.522741226443511,
24,2835 - 169097,24,1,1,1817.017153394930574,25.684338609319017,24.715831010389607,24.794732509577582,
25,2836 - 169097,25,1,1,724.375653379779465,10.664176594601340,11.288311442807638,9.817983838756538,
26,2837 - 169097,26,1,1,439.825846329844865,7.083749056348117,7.675459662954419,5.890454633822230,
27,2838 - 169097,27,1,1,1497.303200425655859,22.272662075894463,22.800769649958124,20.341103471831218,
28,2839 - 169097,28,1,1,1457.927211414760905,20.143091304124063,19.784864718502021,19.924898808508789,
29,2840 - 169097,29,1,1,1751.751099158927445,24.425535951808577,23.230266920371530,23.943813182288991,
30,2841 - 169097,30,1,1,707.016270989105578,10.419739848848170,11.093845495801158,9.580140615843520,
31,2842 - 169097,31,1,1,510.398868945027004,7.446875682668441,8.454533336038908,6.934048197986059,
32,2843 - 169097,32,1,1,1229.447435043706719,17.062731680282710,17.039172611049658,16.793859069231694,
33,2844 - 169097,33,1,1,1035.035658805575849,14.503252282992772,14.406300532911811,14.132786638116569,
34,2845 - 169097,34,1,1,1254.256764264461935,18.076140254707095,17.605811178678291,17.423230642993406,
35,2846 - 169097,35,1,1,1540.393600887043704,21.486973383759146,20.528857406014627,21.051723023055537,
36,2847 - 169097,36,1,1,910.096447365368249,12.802129587104650,13.427294866842434,12.408553626120945,
37,2848 - 169097,37,1,1,1777.532559745204026,24.767677343236471,23.565192707894134,24.296988683444059,
38,2849 - 169097,38,1,1,710.055301849800912,10.274897748076356,10.878352479966752,9.648937592137241,
